	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV_id	ASV_id	taxa_name
ASV16	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__decolorans	[16]	ASV16	g_Russula s  decolorans [16]
ASV17	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[17]	ASV17	g_Archaeorhizomyces [17]
ASV18	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[18]	ASV18	g_Archaeorhizomyces [18]
ASV19	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Amphinema	s__byssoides	[19]	ASV19	g_Amphinema s  byssoides [19]
ASV20	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[20]	ASV20	g_Archaeorhizomyces [20]
ASV21	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Heterophoma	s__sylvatica	[21]	ASV21	g_Heterophoma s  sylvatica [21]
ASV22	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	Unknown	[22]	ASV22	g_Penicillium [22]
ASV23	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__decolorans	[23]	ASV23	g_Russula s  decolorans [23]
ASV24	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Cryptococcus	s__musci	[24]	ASV24	g_Cryptococcus s  musci [24]
ASV25	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	g__Apiotrichum	s__porosum	[25]	ASV25	g_Apiotrichum s  porosum [25]
ASV26	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__asterophora	[26]	ASV26	g_Tylospora s  asterophora [26]
ASV27	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[27]	ASV27	p_Ascomycota [27]
ASV28	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Emericellopsis	Unknown	[28]	ASV28	g_Emericellopsis [28]
ASV29	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[29]	ASV29	g_Archaeorhizomyces [29]
ASV30	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[30]	ASV30	g_Archaeorhizomyces [30]
ASV31	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__consobrina	[31]	ASV31	g_Russula s  consobrina [31]
ASV32	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	Unknown	Unknown	Unknown	[32]	ASV32	o_Capnodiales [32]
ASV33	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephora	s__alnii	[33]	ASV33	g_Thelephora s  alnii [33]
ASV34	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__brunneoconidiatum	[34]	ASV34	g_Penicillium s  brunneoconidiatum [34]
ASV35	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__caninoides	[35]	ASV35	g_Cortinarius s  caninoides [35]
ASV36	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__basiparvispora	[36]	ASV36	g_Mortierella s  basiparvispora [36]
ASV37	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[37]	ASV37	o_Helotiales [37]
ASV38	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[38]	ASV38	g_Archaeorhizomyces [38]
ASV39	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	Unknown	Unknown	[39]	ASV39	f_Dermateaceae [39]
ASV40	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Amphinema	s__byssoides	[40]	ASV40	g_Amphinema s  byssoides [40]
ASV41	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavaria	s__falcata	[41]	ASV41	g_Clavaria s  falcata [41]
ASV42	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[42]	ASV42	g_Archaeorhizomyces [42]
ASV43	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__fibrillosa	[43]	ASV43	g_Tylospora s  fibrillosa [43]
ASV44	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae	[44]	ASV44	g_Vishniacozyma s  victoriae [44]
ASV45	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Sistotrema	s__muscicola	[45]	ASV45	g_Sistotrema s  muscicola [45]
ASV46	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__terricola	[46]	ASV46	g_Solicoccozyma s  terricola [46]
ASV47	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[47]	ASV47	g_Archaeorhizomyces [47]
ASV48	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__fibrillosa	[48]	ASV48	g_Tylospora s  fibrillosa [48]
ASV49	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[49]	ASV49	c_Sordariomycetes [49]
ASV50	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	Unknown	Unknown	[50]	ASV50	f_Hyaloscyphaceae [50]
ASV51	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[51]	ASV51	g_Archaeorhizomyces [51]
ASV52	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[52]	ASV52	p_Ascomycota [52]
ASV53	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Mycosphaerella	s__tassiana	[53]	ASV53	g_Mycosphaerella s  tassiana [53]
ASV54	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Lipomycetaceae	Unknown	Unknown	[54]	ASV54	f_Lipomycetaceae [54]
ASV55	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__humilis	[55]	ASV55	g_Mortierella s  humilis [55]
ASV56	k__Fungi	p__Ascomycota	c__Leotiomycetes	Unknown	Unknown	Unknown	Unknown	[56]	ASV56	c_Leotiomycetes [56]
ASV57	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	Unknown	Unknown	Unknown	[57]	ASV57	o_Atheliales [57]
ASV58	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Trichophaea	Unknown	[58]	ASV58	g_Trichophaea [58]
ASV59	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	Unknown	[59]	ASV59	g_Russula [59]
ASV60	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	Unknown	[60]	ASV60	g_Fusarium [60]
ASV61	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[61]	ASV61	g_Archaeorhizomyces [61]
ASV62	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[62]	ASV62	g_Archaeorhizomyces [62]
ASV63	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[63]	ASV63	g_Archaeorhizomyces [63]
ASV64	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[64]	ASV64	g_Archaeorhizomyces [64]
ASV65	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Thelebolaceae	g__Thelebolus	s__spongiae	[65]	ASV65	g_Thelebolus s  spongiae [65]
ASV66	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[66]	ASV66	g_Archaeorhizomyces [66]
ASV67	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[67]	ASV67	g_Archaeorhizomyces [67]
ASV68	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__asterophora	[68]	ASV68	g_Tylospora s  asterophora [68]
ASV69	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	Unknown	[69]	ASV69	g_Lachnum [69]
ASV70	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__keelungensis	[70]	ASV70	g_Solicoccozyma s  keelungensis [70]
ASV71	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Amphinema	s__byssoides	[71]	ASV71	g_Amphinema s  byssoides [71]
ASV72	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[72]	ASV72	g_Archaeorhizomyces [72]
ASV73	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__aquosa	[73]	ASV73	g_Russula s  aquosa [73]
ASV74	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Cercophora	s__mirabilis	[74]	ASV74	g_Cercophora s  mirabilis [74]
ASV75	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__dolabratus	[75]	ASV75	g_Cortinarius s  dolabratus [75]
ASV76	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__macrocystis	[76]	ASV76	g_Mortierella s  macrocystis [76]
ASV77	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephora	s__alnii	[77]	ASV77	g_Thelephora s  alnii [77]
ASV78	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__basiparvispora	[78]	ASV78	g_Mortierella s  basiparvispora [78]
ASV79	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[79]	ASV79	g_Archaeorhizomyces [79]
ASV80	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavaria	Unknown	[80]	ASV80	g_Clavaria [80]
ASV81	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylospora	s__asterophora	[81]	ASV81	g_Tylospora s  asterophora [81]
ASV82	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[82]	ASV82	p_Rozellomycota [82]
ASV83	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[83]	ASV83	o_Helotiales [83]
ASV84	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	Unknown	[84]	ASV84	g_Russula [84]
ASV85	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Tomentella	s__sublilacina	[85]	ASV85	g_Tomentella s  sublilacina [85]
ASV86	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__versicolor	[86]	ASV86	g_Russula s  versicolor [86]
ASV87	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[87]	ASV87	o_Helotiales [87]
ASV88	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[88]	ASV88	g_Archaeorhizomyces [88]
ASV89	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavaria	s__sphagnicola	[89]	ASV89	g_Clavaria s  sphagnicola [89]
ASV90	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__queletii	[90]	ASV90	g_Russula s  queletii [90]
ASV91	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__uraceisporus	[91]	ASV91	g_Cortinarius s  uraceisporus [91]
ASV92	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__globulifera	[92]	ASV92	g_Mortierella s  globulifera [92]
ASV93	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidium	Unknown	[93]	ASV93	g_Ceratobasidium [93]
ASV94	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__GS29	Unknown	Unknown	Unknown	[94]	ASV94	o_Agaricomycetes GS29 [94]
ASV95	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	Unknown	[95]	ASV95	g_Cortinarius [95]
ASV96	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__emetica	[96]	ASV96	g_Russula s  emetica [96]
ASV97	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[97]	ASV97	p_Ascomycota [97]
ASV98	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[98]	ASV98	g_Archaeorhizomyces [98]
ASV99	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Mycosymbioces	Unknown	[99]	ASV99	g_Mycosymbioces [99]
ASV100	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	Unknown	Unknown	Unknown	[100]	ASV100	o_Agaricales [100]
ASV101	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	Unknown	Unknown	[101]	ASV101	f_Dermateaceae [101]
ASV102	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	Unknown	[102]	ASV102	g_Cortinarius [102]
ASV103	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__caledonica	[103]	ASV103	g_Beauveria s  caledonica [103]
ASV104	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephora	s__terrestris	[104]	ASV104	g_Thelephora s  terrestris [104]
ASV105	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__nuoljae	[105]	ASV105	g_Russula s  nuoljae [105]
ASV106	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Lasiosphaeria	s__similisorbina	[106]	ASV106	g_Lasiosphaeria s  similisorbina [106]
ASV107	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__comptulus	[107]	ASV107	g_Cortinarius s  comptulus [107]
ASV108	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__GS29	Unknown	Unknown	Unknown	[108]	ASV108	o_Agaricomycetes GS29 [108]
ASV109	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Sistotrema	s__muscicola	[109]	ASV109	g_Sistotrema s  muscicola [109]
ASV110	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[110]	ASV110	g_Archaeorhizomyces [110]
ASV111	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	Unknown	[111]	ASV111	g_Cortinarius [111]
ASV112	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Boletaceae	g__Boletus	s__edulis	[112]	ASV112	g_Boletus s  edulis [112]
ASV113	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__ramotenellum	[113]	ASV113	g_Cladosporium s  ramotenellum [113]
ASV114	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	Unknown	[114]	ASV114	g_Saitozyma [114]
ASV115	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Stemphylium	Unknown	[115]	ASV115	g_Stemphylium [115]
ASV116	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	s__podzolica	[116]	ASV116	g_Saitozyma s  podzolica [116]
ASV117	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[117]	ASV117	c_Sordariomycetes [117]
ASV118	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	Unknown	[118]	ASV118	g_Lachnum [118]
ASV119	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	Unknown	[119]	ASV119	g_Oidiodendron [119]
ASV120	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Leptobacillium	s__leptobactrum	[120]	ASV120	g_Leptobacillium s  leptobactrum [120]
ASV121	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__glandicolor	[121]	ASV121	g_Cortinarius s  glandicolor [121]
ASV122	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Syzygosporaceae	g__Syzygospora	s__effibulata	[122]	ASV122	g_Syzygospora s  effibulata [122]
ASV123	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__macrocystis	[123]	ASV123	g_Mortierella s  macrocystis [123]
ASV124	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__chlamydospora	[124]	ASV124	g_Alternaria s  chlamydospora [124]
ASV125	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[125]	ASV125	p_Rozellomycota [125]
ASV126	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__rhodogenum	[126]	ASV126	g_Oidiodendron s  rhodogenum [126]
ASV127	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[127]	ASV127	o_Helotiales [127]
ASV128	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__alliacea	[128]	ASV128	g_Mortierella s  alliacea [128]
ASV129	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[129]	ASV129	g_Archaeorhizomyces [129]
ASV130	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[130]	ASV130	o_Helotiales [130]
ASV131	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__GS11	Unknown	Unknown	Unknown	[131]	ASV131	o_Rozellomycotina GS11 [131]
ASV132	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[132]	ASV132	g_Archaeorhizomyces [132]
ASV133	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	Unknown	Unknown	[133]	ASV133	f_Sporormiaceae [133]
ASV134	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__camargensis	[134]	ASV134	g_Mortierella s  camargensis [134]
ASV135	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	Unknown	Unknown	[135]	ASV135	f_Clavariaceae [135]
ASV136	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	Unknown	Unknown	[136]	ASV136	f_Herpotrichiellaceae [136]
ASV137	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__emetica	[137]	ASV137	g_Russula s  emetica [137]
ASV138	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[138]	ASV138	o_Helotiales [138]
ASV139	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Phacidiales	f__Phacidiaceae	g__Gremmenia	s__infestans	[139]	ASV139	g_Gremmenia s  infestans [139]
ASV140	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__decumbens	[140]	ASV140	g_Penicillium s  decumbens [140]
ASV141	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[141]	ASV141	p_Ascomycota [141]
ASV142	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	Unknown	Unknown	Unknown	[142]	ASV142	o_Glomerellales [142]
ASV143	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Pilodermataceae	g__Piloderma	s__sphaerosporum	[143]	ASV143	g_Piloderma s  sphaerosporum [143]
ASV144	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae	[144]	ASV144	g_Vishniacozyma s  victoriae [144]
ASV145	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	Unknown	Unknown	[145]	ASV145	f_Hyaloscyphaceae [145]
ASV146	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	s__bicolor	[146]	ASV146	g_Hyaloscypha s  bicolor [146]
ASV147	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	Unknown	[147]	ASV147	g_Cortinarius [147]
ASV148	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[148]	ASV148	p_Ascomycota [148]
ASV149	k__Fungi	p__Basidiomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[149]	ASV149	p_Basidiomycota [149]
ASV150	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Phacidiales	f__Phacidiaceae	g__Gremmenia	s__infestans	[150]	ASV150	g_Gremmenia s  infestans [150]
